3.350E+02	8.500E+01	2.065E+01	4.612E+03	6.043E+03	2.763E+01	1.613E+01	1.713E+00	8.100E-01	5.800E-01	5.800E-01	4.600E-01	1.581E+02	1.226E+02	7.608E+01	3.390E+01	1.318E+02	1.581E+02	1.000E-01	1.300E-01	2.500E-01	1.000E-01	2.200E-01	1.000E-01
2.530E+02	7.900E+01	1.795E+01	3.027E+03	4.241E+03	2.904E+01	1.151E+01	2.523E+00	9.200E-01	5.100E-01	4.000E-01	3.100E-01	1.502E+02	1.241E+02	8.592E+01	3.568E+01	1.098E+02	1.503E+02	1.200E-01	1.700E-01	2.200E-01	1.500E-01	2.000E-01	1.200E-01
2.290E+02	7.400E+01	1.708E+01	2.607E+03	3.596E+03	2.788E+01	1.070E+01	2.606E+00	9.200E-01	5.300E-01	3.800E-01	3.200E-01	1.546E+02	1.315E+02	9.714E+01	3.569E+01	9.399E+01	1.546E+02	1.000E-01	1.000E-01	1.300E-01	1.000E-01	1.700E-01	1.000E-01
3.140E+02	8.400E+01	1.999E+01	4.186E+03	5.597E+03	2.410E+01	1.990E+01	1.211E+00	5.600E-01	5.600E-01	8.300E-01	7.100E-01	1.627E+02	1.297E+02	8.213E+01	3.534E+01	1.274E+02	1.627E+02	1.200E-01	1.700E-01	2.900E-01	9.000E-02	2.300E-01	1.200E-01
2.330E+02	7.400E+01	1.722E+01	2.675E+03	3.659E+03	2.811E+01	1.088E+01	2.584E+00	9.200E-01	5.300E-01	3.900E-01	3.400E-01	1.515E+02	1.208E+02	7.851E+01	3.487E+01	1.225E+02	1.515E+02	9.000E-02	1.200E-01	2.500E-01	1.200E-01	2.400E-01	9.000E-02
3.260E+02	8.800E+01	2.037E+01	4.428E+03	6.088E+03	2.516E+01	2.031E+01	1.239E+00	5.900E-01	5.300E-01	8.100E-01	7.100E-01	1.743E+02	1.454E+02	9.953E+01	3.635E+01	1.101E+02	1.743E+02	1.500E-01	1.700E-01	2.400E-01	7.000E-02	2.200E-01	1.500E-01
2.720E+02	8.400E+01	1.861E+01	3.375E+03	4.849E+03	2.252E+01	1.921E+01	1.172E+00	5.200E-01	4.800E-01	8.500E-01	6.700E-01	1.587E+02	1.327E+02	8.811E+01	3.735E+01	1.149E+02	1.587E+02	1.300E-01	1.700E-01	2.700E-01	9.000E-02	2.300E-01	1.300E-01
3.110E+02	8.600E+01	1.990E+01	4.126E+03	5.676E+03	2.382E+01	2.130E+01	1.118E+00	4.500E-01	5.300E-01	8.900E-01	7.800E-01	1.718E+02	1.412E+02	9.293E+01	3.628E+01	1.175E+02	1.718E+02	1.400E-01	1.600E-01	2.500E-01	7.000E-02	2.000E-01	1.400E-01
2.790E+02	8.900E+01	1.885E+01	3.506E+03	5.269E+03	2.802E+01	1.658E+01	1.690E+00	8.100E-01	4.400E-01	5.900E-01	3.900E-01	1.575E+02	1.248E+02	7.718E+01	3.542E+01	1.290E+02	1.575E+02	1.100E-01	1.100E-01	2.000E-01	9.000E-02	1.900E-01	1.100E-01
2.040E+02	7.400E+01	1.612E+01	2.192E+03	3.203E+03	2.544E+01	1.389E+01	1.832E+00	8.400E-01	4.700E-01	5.500E-01	3.900E-01	1.587E+02	1.237E+02	7.326E+01	3.514E+01	1.373E+02	1.587E+02	1.200E-01	1.500E-01	2.900E-01	8.000E-02	2.200E-01	1.200E-01
